location,capex_investment_musd,total_annual_cost_musd,electricity_demand_twh,heat_pump_mt,ncc_h2_mt,ncc_elec_mt,re_ppa_mt,bau_emissions_mt,actual_emissions_mt,abatement_mt,year,scenario
Busan/Iksan/Siheung,0.0,0.0,0.004409138651060567,0,0,0.0,0.0,0.0019223844518624072,0.0019223844518624072,0.0,2025,구조조정 25%
Daesan,0.0,0.0,4.522341810475818,0,0,0.0,0.0,8.914418713260442,8.914418713260442,0.0,2025,구조조정 25%
Gimcheon,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2025,구조조정 25%
Gumi,0.0,0.0,0.00043259473557575364,0,0,0.0,0.0,0.0001886113047110286,0.0001886113047110286,0.0,2025,구조조정 25%
Gunsan,0.0,0.0,0.003090175253481888,0,0,0.0,0.0,0.0013473164105181031,0.0013473164105181031,0.0,2025,구조조정 25%
Gwangyang,0.0,0.0,0.023370020182005704,0,0,0.0,0.0,0.0942458667771633,0.0942458667771633,0.0,2025,구조조정 25%
Incheon,0.0,0.0,0.05787771999190183,0,0,0.0,0.0,0.2243159600744375,0.2243159600744375,0.0,2025,구조조정 25%
Jeonju,0.0,0.0,0.0017303789423030146,0,0,0.0,0.0,0.0007544452188441143,0.0007544452188441143,0.0,2025,구조조정 25%
Jinhae,0.0,0.0,0.001176775461512208,0,0,0.0,0.0,0.0005130741012193226,0.0005130741012193226,0.0,2025,구조조정 25%
Naju,0.0,0.0,0.0014974433154545318,0,0,0.0,0.0,0.000652885285538176,0.000652885285538176,0.0,2025,구조조정 25%
Onsan,0.0,0.0,7.170708074192273,0,0,0.0,0.0,23.218926091190298,23.218926091190298,0.0,2025,구조조정 25%
Pohang,0.0,0.0,0.0008319129530302953,0,0,0.0,0.0,0.00036271404752120874,0.00036271404752120874,0.0,2025,구조조정 25%
Ulsan,0.0,0.0,3.1105940159301873,0,0,0.0,0.0,6.317060941841645,6.317060941841645,0.0,2025,구조조정 25%
Yeosu,0.0,0.0,4.276069799186662,0,0,0.0,0.0,13.971242957324565,13.971242957324565,0.0,2025,구조조정 25%
Busan/Iksan/Siheung,0.0,0.0,0.004409138651060567,0,0,0.0,0.0,0.0019223844518624072,0.0019223844518624072,0.0,2026,구조조정 25%
Daesan,0.0,0.0,4.522341810475818,0,0,0.0,0.0,8.914418713260442,8.914418713260442,0.0,2026,구조조정 25%
Gimcheon,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2026,구조조정 25%
Gumi,0.0,0.0,0.00043259473557575364,0,0,0.0,0.0,0.0001886113047110286,0.0001886113047110286,0.0,2026,구조조정 25%
Gunsan,0.0,0.0,0.003090175253481888,0,0,0.0,0.0,0.0013473164105181031,0.0013473164105181031,0.0,2026,구조조정 25%
Gwangyang,0.0,0.0,0.023370020182005704,0,0,0.0,0.0,0.0942458667771633,0.0942458667771633,0.0,2026,구조조정 25%
Incheon,0.0,0.0,0.05787771999190183,0,0,0.0,0.0,0.2243159600744375,0.2243159600744375,0.0,2026,구조조정 25%
Jeonju,0.0,0.0,0.0017303789423030146,0,0,0.0,0.0,0.0007544452188441143,0.0007544452188441143,0.0,2026,구조조정 25%
Jinhae,0.0,0.0,0.001176775461512208,0,0,0.0,0.0,0.0005130741012193226,0.0005130741012193226,0.0,2026,구조조정 25%
Naju,0.0,0.0,0.0014974433154545318,0,0,0.0,0.0,0.000652885285538176,0.000652885285538176,0.0,2026,구조조정 25%
Onsan,0.0,0.0,7.170708074192273,0,0,0.0,0.0,23.218926091190298,23.218926091190298,0.0,2026,구조조정 25%
Pohang,0.0,0.0,0.0008319129530302953,0,0,0.0,0.0,0.00036271404752120874,0.00036271404752120874,0.0,2026,구조조정 25%
Ulsan,0.0,0.0,3.1105940159301873,0,0,0.0,0.0,6.317060941841645,6.317060941841645,0.0,2026,구조조정 25%
Yeosu,0.0,0.0,4.276069799186662,0,0,0.0,0.0,13.971242957324565,13.971242957324565,0.0,2026,구조조정 25%
Busan/Iksan/Siheung,0.0,0.0,0.004409138651060567,0,0,0.0,0.0,0.0019223844518624072,0.0019223844518624072,0.0,2027,구조조정 25%
Daesan,0.0,0.0,4.522341810475818,0,0,0.0,0.0,8.914418713260442,8.914418713260442,0.0,2027,구조조정 25%
Gimcheon,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2027,구조조정 25%
Gumi,0.0,0.0,0.00043259473557575364,0,0,0.0,0.0,0.0001886113047110286,0.0001886113047110286,0.0,2027,구조조정 25%
Gunsan,0.0,0.0,0.003090175253481888,0,0,0.0,0.0,0.0013473164105181031,0.0013473164105181031,0.0,2027,구조조정 25%
Gwangyang,0.0,0.0,0.023370020182005704,0,0,0.0,0.0,0.0942458667771633,0.0942458667771633,0.0,2027,구조조정 25%
Incheon,0.0,0.0,0.05787771999190183,0,0,0.0,0.0,0.2243159600744375,0.2243159600744375,0.0,2027,구조조정 25%
Jeonju,0.0,0.0,0.0017303789423030146,0,0,0.0,0.0,0.0007544452188441143,0.0007544452188441143,0.0,2027,구조조정 25%
Jinhae,0.0,0.0,0.001176775461512208,0,0,0.0,0.0,0.0005130741012193226,0.0005130741012193226,0.0,2027,구조조정 25%
Naju,0.0,0.0,0.0014974433154545318,0,0,0.0,0.0,0.000652885285538176,0.000652885285538176,0.0,2027,구조조정 25%
Onsan,0.0,0.0,7.170708074192273,0,0,0.0,0.0,23.218926091190298,23.218926091190298,0.0,2027,구조조정 25%
