year,technology,available,abatement_potential_mtco2,capex_ann_usd_per_tco2,opex_ann_usd_per_tco2,fuel_cost_diff_usd_per_tco2,total_cost_usd_per_tco2,re_price_usd_per_mwh,h2_price_usd_per_kg,electricity_consumption_mwh,fossil_fuel_replaced_gj,methodology,h2_consumption_ton_per_ton_ethylene,baseline_combustion_emissions_tco2_per_ton,ethylene_production_kt,h2_fuel_cost_per_ton_ethylene,electricity_consumption_mwh_per_ton_ethylene,electricity_cost_per_ton_ethylene,grid_ef_tco2_per_mwh,grid_price_usd_per_mwh
2025,Heat_Pump,True,2.8624758029124737,45.0,27.0,176.99072451610505,248.99072451610505,129.28818444452443,6.7307511295180715,3918623.101128673,56428172.6562529,Energy-based,,,,,,,,
2025,NCC-H2,False,26994.02384022117,69.0,69.0,0.5965264422070355,138.59652644220702,,6.7307511295180715,,,Energy-based,0.2,2256.6480388079895,11962.0,1346.1502259036142,,,,
2025,NCC-Electricity,False,26994.02384022117,73.6,73.60000000000001,0.2864606757924405,147.48646067579242,129.28818444452443,,,,Energy-based,,2256.6480388079895,11962.0,,5.0,646.4409222226221,0.0,
2025,RE_PPA,True,4.103535257618368,0.0,0.0,75.87612550394928,75.87612550394928,129.28818444452443,,,,Energy-based,,,,,,,0.436,100.0
2026,Heat_Pump,True,1.9779707798125195,43.2,25.919999999999998,184.07035349674922,253.19035349674922,134.45971182230542,6.5602649568863685,2707768.562879913,38991867.30547075,Energy-based,,,,,,,,
2026,NCC-H2,False,18652.870473592826,66.72,66.72,0.5814167600856041,134.0214167600856,,6.5602649568863685,,,Energy-based,0.2,2256.6480388079895,8265.742,1312.0529913772737,,,,
2026,NCC-Electricity,False,18652.870473592826,71.36,71.36,0.29791910282413814,143.01791910282412,134.45971182230542,,,,Energy-based,,2256.6480388079895,8265.742,,5.0,672.2985591115271,0.0,
2026,RE_PPA,True,2.8204580236373387,0.0,0.0,83.5133183901991,83.5133183901991,134.45971182230542,,,,Energy-based,,,,,,,0.4188,103.66
2027,Heat_Pump,True,1.9779707798125195,41.4,24.84,191.43316763661917,257.67316763661916,139.83810029519762,6.389778784254665,2707768.562879913,38991867.30547075,Energy-based,,,,,,,,
2027,NCC-H2,False,18652.870473592826,64.44,64.44,0.5663070779641726,129.44630707796418,,6.389778784254665,,,Energy-based,0.2,2256.6480388079895,8265.742,1277.955756850933,,,,
2027,NCC-Electricity,False,18652.870473592826,69.12,69.12,0.30983586693710363,138.54983586693712,139.83810029519762,,,,Energy-based,,2256.6480388079895,8265.742,,5.0,699.1905014759881,0.0,
2027,RE_PPA,True,2.80408105658467,0.0,0.0,92.5145059590376,92.5145059590376,139.83810029519762,,,,Energy-based,,,,,,,0.4016,107.31
2028,Heat_Pump,True,1.9779707798125195,39.6,23.759999999999998,199.09049434208399,262.45049434208397,145.43162430700554,6.219292611622962,2707768.562879913,38991867.30547075,Energy-based,,,,,,,,
2028,NCC-H2,False,18652.870473592826,62.16,62.160000000000004,0.551197395842741,124.87119739584273,,6.219292611622962,,,Energy-based,0.2,2256.6480388079895,8265.742,1243.8585223245925,,,,
2028,NCC-Electricity,False,18652.870473592826,66.88,66.88,0.3222293016145878,134.08222930161457,145.43162430700554,,,,Energy-based,,2256.6480388079895,8265.742,,5.0,727.1581215350277,0.0,
2028,RE_PPA,True,2.786238512875883,0.0,0.0,103.0550966118587,103.0550966118587,145.43162430700554,,,,Energy-based,,,,,,,0.3843999999999999,110.97
2029,Heat_Pump,True,1.9779707798125195,37.8,22.68,207.05411411576736,267.53411411576735,151.24888927928578,6.048805516182376,2707768.562879913,38991867.30547075,Energy-based,,,,,,,,
2029,NCC-H2,False,18652.870473592826,59.88,59.88,0.5360876319355042,120.2960876319355,,6.048805516182376,,,Energy-based,0.2,2256.6480388079895,8265.742,1209.761103236475,,,,
