year,scenario,company,bau_emissions_tco2,emissions_tco2,abatement_tco2,capex_usd
2025,shaheen_ncc_elec_20c,HD Hyundai OCI,131.0097647224546,131.0097647224546,0.0,0.0
2025,shaheen_ncc_elec_20c,HDC Hyundai EP,127400.1974648353,127400.1974648353,0.0,0.0
2025,shaheen_ncc_elec_20c,HDHyundai Oilbank,635220.6307667523,635220.6307667523,0.0,0.0
2025,shaheen_ncc_elec_20c,Hansol Chemical,15775.634207653151,15775.634207653151,0.0,0.0
2025,shaheen_ncc_elec_20c,Hanwha Impact,478049.5214440348,478049.5214440348,0.0,0.0
2025,shaheen_ncc_elec_20c,Hanwha Solutions,1404464.5722706937,1404464.5722706937,0.0,0.0
2025,shaheen_ncc_elec_20c,Hanwha TotalEnergies,5208159.830883751,5208159.830883751,0.0,0.0
2025,shaheen_ncc_elec_20c,Hyosung Chemical,772903.6706624635,772903.6706624635,0.0,0.0
2025,shaheen_ncc_elec_20c,ISU Chemical,21512.228464981567,21512.228464981567,0.0,0.0
2025,shaheen_ncc_elec_20c,KPX Chemical,287.0655138771432,287.0655138771432,0.0,0.0
2025,shaheen_ncc_elec_20c,Kolon Industries,131.97307181600206,131.97307181600206,0.0,0.0
2025,shaheen_ncc_elec_20c,Korea Alcohol Industrial,47147.63405241793,47147.63405241793,0.0,0.0
2025,shaheen_ncc_elec_20c,Korea INEOS Styrolution,281595.07060660876,281595.07060660876,0.0,0.0
2025,shaheen_ncc_elec_20c,Korea PTG,5378.057116245392,5378.057116245392,0.0,0.0
2025,shaheen_ncc_elec_20c,Korea Trinseo,7708.548533285062,7708.548533285062,0.0,0.0
2025,shaheen_ncc_elec_20c,Kukdo Chemical,510.552759580154,510.552759580154,0.0,0.0
2025,shaheen_ncc_elec_20c,Kumho Mitsui Chemical,587.6173270639507,587.6173270639507,0.0,0.0
2025,shaheen_ncc_elec_20c,Kumho P&B Chemical,1818.7237926176049,1818.7237926176049,0.0,0.0
2025,shaheen_ncc_elec_20c,Kumho Petrochemical,1049962.0788253534,1049962.0788253534,0.0,0.0
2025,shaheen_ncc_elec_20c,Kumho Polychem,92622.09477978176,92622.09477978176,0.0,0.0
2025,shaheen_ncc_elec_20c,LG Chem,10050786.054717835,10050786.054717835,0.0,0.0
2025,shaheen_ncc_elec_20c,LXMMA,64787.14523926704,64787.14523926704,0.0,0.0
2025,shaheen_ncc_elec_20c,Lotte Chemical,7838367.263992788,7838367.263992788,0.0,0.0
2025,shaheen_ncc_elec_20c,Lotte GS Chemical,201986.29376911055,201986.29376911055,0.0,0.0
2025,shaheen_ncc_elec_20c,Lotte INEOS Chemical,237232.0750166023,237232.0750166023,0.0,0.0
2025,shaheen_ncc_elec_20c,Lotte MCC,59338.766705192684,59338.766705192684,0.0,0.0
2025,shaheen_ncc_elec_20c,Lotte Versalis Elastomers,52585.447358843834,52585.447358843834,0.0,0.0
2025,shaheen_ncc_elec_20c,OCI,63416.67459769551,63416.67459769551,0.0,0.0
2025,shaheen_ncc_elec_20c,Orion Engineered Carbons,163.76220590306824,163.76220590306824,0.0,0.0
2025,shaheen_ncc_elec_20c,PU Core,211.92756058044128,211.92756058044128,0.0,0.0
2025,shaheen_ncc_elec_20c,Poly Mirae,169408.79916172987,169408.79916172987,0.0,0.0
2025,shaheen_ncc_elec_20c,S-Oil,2086877.749365097,2086877.749365097,0.0,0.0
2025,shaheen_ncc_elec_20c,S-Oil Shaheen,4435028.855508218,4435028.855508218,0.0,0.0
2025,shaheen_ncc_elec_20c,SH Energy Chemical,59756.190180504345,59756.190180504345,0.0,0.0
2025,shaheen_ncc_elec_20c,SK Advanced,807015.9253910595,807015.9253910595,0.0,0.0
2025,shaheen_ncc_elec_20c,SK Chemical,38243.96171552279,38243.96171552279,0.0,0.0
2025,shaheen_ncc_elec_20c,SK Energy,833916.4562374282,833916.4562374282,0.0,0.0
2025,shaheen_ncc_elec_20c,SK Geocentric,3504369.110002753,3504369.110002753,0.0,0.0
2025,shaheen_ncc_elec_20c,SK Incheon Petrochemical,124809.7331236873,124809.7331236873,0.0,0.0
2025,shaheen_ncc_elec_20c,SKpicglobal,71707.42821660521,71707.42821660521,0.0,0.0
2025,shaheen_ncc_elec_20c,SSNC,81746.46816692996,81746.46816692996,0.0,0.0
2025,shaheen_ncc_elec_20c,Samnam Petrochemical,358537.14108302613,358537.14108302613,0.0,0.0
2025,shaheen_ncc_elec_20c,Samyang Chemical,57365.942573284185,57365.942573284185,0.0,0.0
2025,shaheen_ncc_elec_20c,Samyang Innochem,173.39527683854283,173.39527683854283,0.0,0.0
2025,shaheen_ncc_elec_20c,Taekwang Industrial,729179.1991792785,729179.1991792785,0.0,0.0
2025,shaheen_ncc_elec_20c,Ulsan Aromatics,124809.7331236873,124809.7331236873,0.0,0.0
2025,shaheen_ncc_elec_20c,Ulsan PP,250975.99875811828,250975.99875811828,0.0,0.0
2025,shaheen_ncc_elec_20c,Yeochon NCC,6032089.659866812,6032089.659866812,0.0,0.0
2025,shaheen_ncc_elec_20c,Yongsan Chemical,6812.205680577497,6812.205680577497,0.0,0.0
2025,shaheen_ncc_h2_15c,Aekyung Chemical,39080.548378049854,39080.548378049854,0.0,0.0
2025,shaheen_ncc_h2_15c,Arkema,53780.571162453925,53780.571162453925,0.0,0.0
2025,shaheen_ncc_h2_15c,BASF Korea,51302.3511059153,51302.3511059153,0.0,0.0
2025,shaheen_ncc_h2_15c,Birla Carbon Korea,185.91826905465985,185.91826905465985,0.0,0.0
2025,shaheen_ncc_h2_15c,Bluecube Chemical,50.09196886446794,50.09196886446794,0.0,0.0
2025,shaheen_ncc_h2_15c,Caprolactam,355502.39067506674,355502.39067506674,0.0,0.0
2025,shaheen_ncc_h2_15c,DL Chemical,268066.26914974255,268066.26914974255,0.0,0.0
2025,shaheen_ncc_h2_15c,Daehan Oil Chemical,2701027.810132496,2701027.810132496,0.0,0.0
2025,shaheen_ncc_h2_15c,Dongseo Petrochemical,179866.1324433181,179866.1324433181,0.0,0.0
2025,shaheen_ncc_h2_15c,Downing Chemical,28.89921280642381,28.89921280642381,0.0,0.0
2025,shaheen_ncc_h2_15c,GS Caltex,3633193.7884299024,3633193.7884299024,0.0,0.0
2025,shaheen_ncc_h2_15c,HD Hyundai Chemical,3472213.629032109,3472213.629032109,0.0,0.0
2025,shaheen_ncc_h2_15c,HD Hyundai OCI,131.0097647224546,131.0097647224546,0.0,0.0
2025,shaheen_ncc_h2_15c,HDC Hyundai EP,127400.1974648353,127400.1974648353,0.0,0.0
2025,shaheen_ncc_h2_15c,HDHyundai Oilbank,635220.6307667523,635220.6307667523,0.0,0.0
2025,shaheen_ncc_h2_15c,Hansol Chemical,15775.634207653151,15775.634207653151,0.0,0.0
2025,shaheen_ncc_h2_15c,Hanwha Impact,478049.5214440348,478049.5214440348,0.0,0.0
2025,shaheen_ncc_h2_15c,Hanwha Solutions,1404464.5722706937,1404464.5722706937,0.0,0.0
2025,shaheen_ncc_h2_15c,Hanwha TotalEnergies,5208159.830883751,5208159.830883751,0.0,0.0
2025,shaheen_ncc_h2_15c,Hyosung Chemical,772903.6706624635,772903.6706624635,0.0,0.0
2025,shaheen_ncc_h2_15c,ISU Chemical,21512.228464981567,21512.228464981567,0.0,0.0
2025,shaheen_ncc_h2_15c,KPX Chemical,287.0655138771432,287.0655138771432,0.0,0.0
2025,shaheen_ncc_h2_15c,Kolon Industries,131.97307181600206,131.97307181600206,0.0,0.0
2025,shaheen_ncc_h2_15c,Korea Alcohol Industrial,47147.63405241793,47147.63405241793,0.0,0.0
