Year,TechID,TechGroup,Band,Technology_Name,Target_Band,Commercial_Year,Technology_Lifetime_years,Baseline_CAPEX_M_USD_per_kt,Baseline_OPEX_USD_per_t,Baseline_NPV_Total_M_USD_per_kt,Alternative_CAPEX_M_USD_per_kt,Alternative_OPEX_USD_per_t,Alternative_Annual_OPEX_M_USD_per_kt,Alternative_Maintenance_pct,Alternative_NPV_Total_M_USD_per_kt,CAPEX_Differential_M_USD_per_kt,OPEX_Differential_USD_per_t,NPV_Differential_M_USD_per_kt,Cost_Premium_pct,Emission_Reduction_tCO2_per_t,Annual_Abatement_Potential_tCO2_per_kt,Cost_per_tCO2_CAPEX_USD,Cost_per_tCO2_OPEX_USD,Cost_per_tCO2_Total_USD,Is_Deployed_in_Solution,Deployment_Level_pct,Band_Baseline_Capacity_kt,Max_Applicability_pct,Technical_Readiness_Level
2026,NCC_HT_Hydrogen,NCC,HT,NCC HT H2-furnace,NCC_HT,2030,25,0.0,0,0.0,320.0,-15,0.11525,0.04,321.6243271112367,320.0,-15,321.6243271112367,0,2.2,1870.0000000000002,6844.919786096256,61.63101604278074,6879.664751042495,False,0.0,3500,50.0,5
2026,NCC_MT_HeatPump,NCC,MT,NCC MT Heat pump,NCC_MT,2026,25,0.0,0,0.0,80.0,-20,0.003,0.025,80.04228183369815,80.0,-20,80.04228183369815,0,0.8,680.0,4705.882352941177,4.411764705882353,4708.369519629303,False,0.0,2800,60.0,8
2026,NCC_MT_ElecHeater,NCC,MT,NCC MT Electric heater,NCC_MT,2025,25,0.0,0,0.0,60.0,10,0.0217,0.022,60.30583859708315,60.0,10,60.30583859708315,0,1.0,850.0,2823.529411764706,25.529411764705884,2837.921816333325,True,0.0,2800,70.0,9
2026,NCC_LT_HeatPump,NCC,LT,NCC LT Heat pump,NCC_LT,2024,25,0.0,0,0.0,45.0,-25,-0.01225,0.02,44.827349179065955,45.0,-25,44.827349179065955,0,0.4,340.0,5294.117647058823,-36.029411764705884,5273.805785772465,True,0.0,1200,80.0,9
2026,NCC_LT_ElecCompr,NCC,LT,NCC LT Electric motor,NCC_LT,2023,25,0.0,0,0.0,35.0,-30,-0.0192,0.018,34.72939626433194,35.0,-30,34.72939626433194,0,0.3,255.0,5490.196078431372,-75.29411764705883,5447.748433620696,False,0.0,1200,90.0,9
2026,BTX_HT_Electric,BTX,HT,BTX HT Electric furnace,BTX_HT,2030,25,0.0,0,0.0,220.0,30,0.10909999999999999,0.038,221.5376493521555,220.0,30,221.5376493521555,0,1.2,1020.0,8627.450980392157,106.96078431372547,8687.75095498649,False,0.0,1200,30.0,5
2026,BTX_HT_Hydrogen,BTX,HT,BTX HT H2-reformer,BTX_HT,2032,25,0.0,0,0.0,260.0,-10,0.1007,0.042,261.4192602178007,260.0,-10,261.4192602178007,0,1.3,1105.0,9411.764705882353,91.13122171945702,9463.14064136835,False,0.0,1200,40.0,4
2026,BTX_MT_HeatPump,BTX,MT,BTX MT Heat pump,BTX_MT,2026,25,0.0,0,0.0,70.0,-18,0.0022,0.025,70.0310066780453,70.0,-18,70.0310066780453,0,0.6,510.0,5490.196078431372,4.313725490196078,5492.6279747486515,False,0.0,800,60.0,8
2026,BTX_MT_ElecHeater,BTX,MT,BTX MT Electric heater,BTX_MT,2025,25,0.0,0,0.0,55.0,8,0.0189,0.022,55.26637555229825,55.0,8,55.26637555229825,0,0.7,595.0,3697.4789915966385,31.764705882352942,3715.3865917511425,True,0.0,800,70.0,9
2026,BTX_LT_HeatPump,BTX,LT,BTX LT Heat pump,BTX_LT,2024,25,0.0,0,0.0,40.0,-22,-0.0107,0.02,39.849194793143326,40.0,-22,39.849194793143326,0,0.3,255.0,6274.509803921569,-41.96078431372549,6250.854085198953,True,0.0,1100,80.0,9
2026,BTX_LT_ElecCompr,BTX,LT,BTX LT Electric motor,BTX_LT,2023,25,0.0,0,0.0,32.0,-28,-0.01804,0.018,31.745745240028555,32.0,-28,31.745745240028555,0,0.2,170.0,7529.411764705882,-106.11764705882354,7469.587115300837,False,0.0,1100,90.0,9
2026,C4_HT_Electric,C4,HT,C4 HT Electric extraction,C4_HT,2032,25,0.0,0,0.0,350.0,40,0.1915,0.045,352.69899038439763,350.0,40,352.69899038439763,0,1.8,1530.0,9150.32679738562,125.16339869281046,9220.888637500591,False,0.0,450,30.0,4
2026,C4_HT_Hydrogen,C4,HT,C4 HT H2-process,C4_HT,2035,25,0.0,0,0.0,380.0,-5,0.18575,0.05,382.61795020314275,380.0,-5,382.61795020314275,0,1.9,1615.0,9411.764705882353,115.015479876161,9476.605577786817,False,0.0,450,40.0,3
2026,C4_MT_HeatPump,C4,MT,C4 MT Heat pump,C4_MT,2027,25,0.0,0,0.0,85.0,-15,0.011050000000000004,0.028,85.15573808745476,85.0,-15,85.15573808745476,0,0.7,595.0,5714.285714285715,18.571428571428577,5724.755501677631,False,0.0,350,50.0,7
2026,C4_MT_ElecHeater,C4,MT,C4 MT Electric heater,C4_MT,2026,25,0.0,0,0.0,65.0,12,0.02645,0.025,65.3727848337719,65.0,12,65.3727848337719,0,0.8,680.0,3823.529411764706,38.89705882352941,3845.4579313983472,True,0.0,350,60.0,8
2026,C4_LT_HeatPump,C4,LT,C4 LT Heat pump,C4_LT,2024,25,0.0,0,0.0,50.0,-20,-0.006000000000000002,0.022,49.91543633260375,50.0,-20,49.91543633260375,0,0.3,255.0,7843.137254901961,-23.52941176470589,7829.872365898626,True,0.0,200,70.0,9
2026,C4_LT_ElecCompr,C4,LT,C4 LT Electric motor,C4_LT,2023,25,0.0,0,0.0,38.0,-25,-0.01365,0.02,37.80761765667349,38.0,-25,37.80761765667349,0,0.3,255.0,5960.78431372549,-53.529411764705884,5930.6066912429005,False,0.0,200,80.0,9
2027,NCC_HT_Electric,NCC,HT,NCC HT E-cracker,NCC_HT,2028,25,0.0,0,0.0,280.0,25,0.11925000000000001,0.035,281.68070288950076,280.0,25,281.68070288950076,0,2.0,1700.0,6588.235294117647,70.14705882352942,6627.781244458841,False,0.0,3500,40.0,6
2027,NCC_HT_Hydrogen,NCC,HT,NCC HT H2-furnace,NCC_HT,2030,25,0.0,0,0.0,320.0,-15,0.11525,0.04,321.6243271112367,320.0,-15,321.6243271112367,0,2.2,1870.0000000000002,6844.919786096256,61.63101604278074,6879.664751042495,False,0.0,3500,50.0,5
2027,NCC_MT_HeatPump,NCC,MT,NCC MT Heat pump,NCC_MT,2026,25,0.0,0,0.0,80.0,-20,0.003,0.025,80.04228183369815,80.0,-20,80.04228183369815,0,0.8,680.0,4705.882352941177,4.411764705882353,4708.369519629303,False,0.0,2800,60.0,8
2027,NCC_MT_ElecHeater,NCC,MT,NCC MT Electric heater,NCC_MT,2025,25,0.0,0,0.0,60.0,10,0.0217,0.022,60.30583859708315,60.0,10,60.30583859708315,0,1.0,850.0,2823.529411764706,25.529411764705884,2837.921816333325,True,0.0,2800,70.0,9
2027,NCC_LT_HeatPump,NCC,LT,NCC LT Heat pump,NCC_LT,2024,25,0.0,0,0.0,45.0,-25,-0.01225,0.02,44.827349179065955,45.0,-25,44.827349179065955,0,0.4,340.0,5294.117647058823,-36.029411764705884,5273.805785772465,True,0.0,1200,80.0,9
2027,NCC_LT_ElecCompr,NCC,LT,NCC LT Electric motor,NCC_LT,2023,25,0.0,0,0.0,35.0,-30,-0.0192,0.018,34.72939626433194,35.0,-30,34.72939626433194,0,0.3,255.0,5490.196078431372,-75.29411764705883,5447.748433620696,False,0.0,1200,90.0,9
2027,BTX_HT_Electric,BTX,HT,BTX HT Electric furnace,BTX_HT,2030,25,0.0,0,0.0,220.0,30,0.10909999999999999,0.038,221.5376493521555,220.0,30,221.5376493521555,0,1.2,1020.0,8627.450980392157,106.96078431372547,8687.75095498649,False,0.0,1200,30.0,5
2027,BTX_HT_Hydrogen,BTX,HT,BTX HT H2-reformer,BTX_HT,2032,25,0.0,0,0.0,260.0,-10,0.1007,0.042,261.4192602178007,260.0,-10,261.4192602178007,0,1.3,1105.0,9411.764705882353,91.13122171945702,9463.14064136835,False,0.0,1200,40.0,4
2027,BTX_MT_HeatPump,BTX,MT,BTX MT Heat pump,BTX_MT,2026,25,0.0,0,0.0,70.0,-18,0.0022,0.025,70.0310066780453,70.0,-18,70.0310066780453,0,0.6,510.0,5490.196078431372,4.313725490196078,5492.6279747486515,False,0.0,800,60.0,8
2027,BTX_MT_ElecHeater,BTX,MT,BTX MT Electric heater,BTX_MT,2025,25,0.0,0,0.0,55.0,8,0.0189,0.022,55.26637555229825,55.0,8,55.26637555229825,0,0.7,595.0,3697.4789915966385,31.764705882352942,3715.3865917511425,True,0.0,800,70.0,9
2027,BTX_LT_HeatPump,BTX,LT,BTX LT Heat pump,BTX_LT,2024,25,0.0,0,0.0,40.0,-22,-0.0107,0.02,39.849194793143326,40.0,-22,39.849194793143326,0,0.3,255.0,6274.509803921569,-41.96078431372549,6250.854085198953,True,0.0,1100,80.0,9
2027,BTX_LT_ElecCompr,BTX,LT,BTX LT Electric motor,BTX_LT,2023,25,0.0,0,0.0,32.0,-28,-0.01804,0.018,31.745745240028555,32.0,-28,31.745745240028555,0,0.2,170.0,7529.411764705882,-106.11764705882354,7469.587115300837,False,0.0,1100,90.0,9
2027,C4_HT_Electric,C4,HT,C4 HT Electric extraction,C4_HT,2032,25,0.0,0,0.0,350.0,40,0.1915,0.045,352.69899038439763,350.0,40,352.69899038439763,0,1.8,1530.0,9150.32679738562,125.16339869281046,9220.888637500591,False,0.0,450,30.0,4
2027,C4_HT_Hydrogen,C4,HT,C4 HT H2-process,C4_HT,2035,25,0.0,0,0.0,380.0,-5,0.18575,0.05,382.61795020314275,380.0,-5,382.61795020314275,0,1.9,1615.0,9411.764705882353,115.015479876161,9476.605577786817,False,0.0,450,40.0,3
2027,C4_MT_HeatPump,C4,MT,C4 MT Heat pump,C4_MT,2027,25,0.0,0,0.0,85.0,-15,0.011050000000000004,0.028,85.15573808745476,85.0,-15,85.15573808745476,0,0.7,595.0,5714.285714285715,18.571428571428577,5724.755501677631,False,0.0,350,50.0,7
2027,C4_MT_ElecHeater,C4,MT,C4 MT Electric heater,C4_MT,2026,25,0.0,0,0.0,65.0,12,0.02645,0.025,65.3727848337719,65.0,12,65.3727848337719,0,0.8,680.0,3823.529411764706,38.89705882352941,3845.4579313983472,True,0.0,350,60.0,8
2027,C4_LT_HeatPump,C4,LT,C4 LT Heat pump,C4_LT,2024,25,0.0,0,0.0,50.0,-20,-0.006000000000000002,0.022,49.91543633260375,50.0,-20,49.91543633260375,0,0.3,255.0,7843.137254901961,-23.52941176470589,7829.872365898626,True,0.0,200,70.0,9
2027,C4_LT_ElecCompr,C4,LT,C4 LT Electric motor,C4_LT,2023,25,0.0,0,0.0,38.0,-25,-0.01365,0.02,37.80761765667349,38.0,-25,37.80761765667349,0,0.3,255.0,5960.78431372549,-53.529411764705884,5930.6066912429005,False,0.0,200,80.0,9
2028,NCC_HT_Electric,NCC,HT,NCC HT E-cracker,NCC_HT,2028,25,0.0,0,0.0,280.0,25,0.11925000000000001,0.035,281.68070288950076,280.0,25,281.68070288950076,0,2.0,1700.0,6588.235294117647,70.14705882352942,6627.781244458841,True,0.0,3500,40.0,6
2028,NCC_HT_Hydrogen,NCC,HT,NCC HT H2-furnace,NCC_HT,2030,25,0.0,0,0.0,320.0,-15,0.11525,0.04,321.6243271112367,320.0,-15,321.6243271112367,0,2.2,1870.0000000000002,6844.919786096256,61.63101604278074,6879.664751042495,False,0.0,3500,50.0,5
2028,NCC_MT_HeatPump,NCC,MT,NCC MT Heat pump,NCC_MT,2026,25,0.0,0,0.0,80.0,-20,0.003,0.025,80.04228183369815,80.0,-20,80.04228183369815,0,0.8,680.0,4705.882352941177,4.411764705882353,4708.369519629303,False,0.0,2800,60.0,8
2028,NCC_MT_ElecHeater,NCC,MT,NCC MT Electric heater,NCC_MT,2025,25,0.0,0,0.0,60.0,10,0.0217,0.022,60.30583859708315,60.0,10,60.30583859708315,0,1.0,850.0,2823.529411764706,25.529411764705884,2837.921816333325,True,0.0,2800,70.0,9
2028,NCC_LT_HeatPump,NCC,LT,NCC LT Heat pump,NCC_LT,2024,25,0.0,0,0.0,45.0,-25,-0.01225,0.02,44.827349179065955,45.0,-25,44.827349179065955,0,0.4,340.0,5294.117647058823,-36.029411764705884,5273.805785772465,True,0.0,1200,80.0,9
2028,NCC_LT_ElecCompr,NCC,LT,NCC LT Electric motor,NCC_LT,2023,25,0.0,0,0.0,35.0,-30,-0.0192,0.018,34.72939626433194,35.0,-30,34.72939626433194,0,0.3,255.0,5490.196078431372,-75.29411764705883,5447.748433620696,False,0.0,1200,90.0,9
2028,BTX_HT_Electric,BTX,HT,BTX HT Electric furnace,BTX_HT,2030,25,0.0,0,0.0,220.0,30,0.10909999999999999,0.038,221.5376493521555,220.0,30,221.5376493521555,0,1.2,1020.0,8627.450980392157,106.96078431372547,8687.75095498649,False,0.0,1200,30.0,5
2028,BTX_HT_Hydrogen,BTX,HT,BTX HT H2-reformer,BTX_HT,2032,25,0.0,0,0.0,260.0,-10,0.1007,0.042,261.4192602178007,260.0,-10,261.4192602178007,0,1.3,1105.0,9411.764705882353,91.13122171945702,9463.14064136835,False,0.0,1200,40.0,4
2028,BTX_MT_HeatPump,BTX,MT,BTX MT Heat pump,BTX_MT,2026,25,0.0,0,0.0,70.0,-18,0.0022,0.025,70.0310066780453,70.0,-18,70.0310066780453,0,0.6,510.0,5490.196078431372,4.313725490196078,5492.6279747486515,False,0.0,800,60.0,8
2028,BTX_MT_ElecHeater,BTX,MT,BTX MT Electric heater,BTX_MT,2025,25,0.0,0,0.0,55.0,8,0.0189,0.022,55.26637555229825,55.0,8,55.26637555229825,0,0.7,595.0,3697.4789915966385,31.764705882352942,3715.3865917511425,True,0.0,800,70.0,9
2028,BTX_LT_HeatPump,BTX,LT,BTX LT Heat pump,BTX_LT,2024,25,0.0,0,0.0,40.0,-22,-0.0107,0.02,39.849194793143326,40.0,-22,39.849194793143326,0,0.3,255.0,6274.509803921569,-41.96078431372549,6250.854085198953,True,0.0,1100,80.0,9
2028,BTX_LT_ElecCompr,BTX,LT,BTX LT Electric motor,BTX_LT,2023,25,0.0,0,0.0,32.0,-28,-0.01804,0.018,31.745745240028555,32.0,-28,31.745745240028555,0,0.2,170.0,7529.411764705882,-106.11764705882354,7469.587115300837,False,0.0,1100,90.0,9
2028,C4_HT_Electric,C4,HT,C4 HT Electric extraction,C4_HT,2032,25,0.0,0,0.0,350.0,40,0.1915,0.045,352.69899038439763,350.0,40,352.69899038439763,0,1.8,1530.0,9150.32679738562,125.16339869281046,9220.888637500591,False,0.0,450,30.0,4
2028,C4_HT_Hydrogen,C4,HT,C4 HT H2-process,C4_HT,2035,25,0.0,0,0.0,380.0,-5,0.18575,0.05,382.61795020314275,380.0,-5,382.61795020314275,0,1.9,1615.0,9411.764705882353,115.015479876161,9476.605577786817,False,0.0,450,40.0,3
2028,C4_MT_HeatPump,C4,MT,C4 MT Heat pump,C4_MT,2027,25,0.0,0,0.0,85.0,-15,0.011050000000000004,0.028,85.15573808745476,85.0,-15,85.15573808745476,0,0.7,595.0,5714.285714285715,18.571428571428577,5724.755501677631,False,0.0,350,50.0,7
2028,C4_MT_ElecHeater,C4,MT,C4 MT Electric heater,C4_MT,2026,25,0.0,0,0.0,65.0,12,0.02645,0.025,65.3727848337719,65.0,12,65.3727848337719,0,0.8,680.0,3823.529411764706,38.89705882352941,3845.4579313983472,True,0.0,350,60.0,8
2028,C4_LT_HeatPump,C4,LT,C4 LT Heat pump,C4_LT,2024,25,0.0,0,0.0,50.0,-20,-0.006000000000000002,0.022,49.91543633260375,50.0,-20,49.91543633260375,0,0.3,255.0,7843.137254901961,-23.52941176470589,7829.872365898626,True,0.0,200,70.0,9
2028,C4_LT_ElecCompr,C4,LT,C4 LT Electric motor,C4_LT,2023,25,0.0,0,0.0,38.0,-25,-0.01365,0.02,37.80761765667349,38.0,-25,37.80761765667349,0,0.3,255.0,5960.78431372549,-53.529411764705884,5930.6066912429005,False,0.0,200,80.0,9
2029,NCC_HT_Electric,NCC,HT,NCC HT E-cracker,NCC_HT,2028,25,0.0,0,0.0,280.0,25,0.11925000000000001,0.035,281.68070288950076,280.0,25,281.68070288950076,0,2.0,1700.0,6588.235294117647,70.14705882352942,6627.781244458841,True,0.0,3500,40.0,6
2029,NCC_HT_Hydrogen,NCC,HT,NCC HT H2-furnace,NCC_HT,2030,25,0.0,0,0.0,320.0,-15,0.11525,0.04,321.6243271112367,320.0,-15,321.6243271112367,0,2.2,1870.0000000000002,6844.919786096256,61.63101604278074,6879.664751042495,False,0.0,3500,50.0,5
2029,NCC_MT_HeatPump,NCC,MT,NCC MT Heat pump,NCC_MT,2026,25,0.0,0,0.0,80.0,-20,0.003,0.025,80.04228183369815,80.0,-20,80.04228183369815,0,0.8,680.0,4705.882352941177,4.411764705882353,4708.369519629303,False,0.0,2800,60.0,8
2029,NCC_MT_ElecHeater,NCC,MT,NCC MT Electric heater,NCC_MT,2025,25,0.0,0,0.0,60.0,10,0.0217,0.022,60.30583859708315,60.0,10,60.30583859708315,0,1.0,850.0,2823.529411764706,25.529411764705884,2837.921816333325,True,0.0,2800,70.0,9
2029,NCC_LT_HeatPump,NCC,LT,NCC LT Heat pump,NCC_LT,2024,25,0.0,0,0.0,45.0,-25,-0.01225,0.02,44.827349179065955,45.0,-25,44.827349179065955,0,0.4,340.0,5294.117647058823,-36.029411764705884,5273.805785772465,True,0.0,1200,80.0,9
2029,NCC_LT_ElecCompr,NCC,LT,NCC LT Electric motor,NCC_LT,2023,25,0.0,0,0.0,35.0,-30,-0.0192,0.018,34.72939626433194,35.0,-30,34.72939626433194,0,0.3,255.0,5490.196078431372,-75.29411764705883,5447.748433620696,False,0.0,1200,90.0,9
2029,BTX_HT_Electric,BTX,HT,BTX HT Electric furnace,BTX_HT,2030,25,0.0,0,0.0,220.0,30,0.10909999999999999,0.038,221.5376493521555,220.0,30,221.5376493521555,0,1.2,1020.0,8627.450980392157,106.96078431372547,8687.75095498649,False,0.0,1200,30.0,5
2029,BTX_HT_Hydrogen,BTX,HT,BTX HT H2-reformer,BTX_HT,2032,25,0.0,0,0.0,260.0,-10,0.1007,0.042,261.4192602178007,260.0,-10,261.4192602178007,0,1.3,1105.0,9411.764705882353,91.13122171945702,9463.14064136835,False,0.0,1200,40.0,4
2029,BTX_MT_HeatPump,BTX,MT,BTX MT Heat pump,BTX_MT,2026,25,0.0,0,0.0,70.0,-18,0.0022,0.025,70.0310066780453,70.0,-18,70.0310066780453,0,0.6,510.0,5490.196078431372,4.313725490196078,5492.6279747486515,False,0.0,800,60.0,8
2029,BTX_MT_ElecHeater,BTX,MT,BTX MT Electric heater,BTX_MT,2025,25,0.0,0,0.0,55.0,8,0.0189,0.022,55.26637555229825,55.0,8,55.26637555229825,0,0.7,595.0,3697.4789915966385,31.764705882352942,3715.3865917511425,True,0.0,800,70.0,9
2029,BTX_LT_HeatPump,BTX,LT,BTX LT Heat pump,BTX_LT,2024,25,0.0,0,0.0,40.0,-22,-0.0107,0.02,39.849194793143326,40.0,-22,39.849194793143326,0,0.3,255.0,6274.509803921569,-41.96078431372549,6250.854085198953,True,0.0,1100,80.0,9
2029,BTX_LT_ElecCompr,BTX,LT,BTX LT Electric motor,BTX_LT,2023,25,0.0,0,0.0,32.0,-28,-0.01804,0.018,31.745745240028555,32.0,-28,31.745745240028555,0,0.2,170.0,7529.411764705882,-106.11764705882354,7469.587115300837,False,0.0,1100,90.0,9
2029,C4_HT_Electric,C4,HT,C4 HT Electric extraction,C4_HT,2032,25,0.0,0,0.0,350.0,40,0.1915,0.045,352.69899038439763,350.0,40,352.69899038439763,0,1.8,1530.0,9150.32679738562,125.16339869281046,9220.888637500591,False,0.0,450,30.0,4
2029,C4_HT_Hydrogen,C4,HT,C4 HT H2-process,C4_HT,2035,25,0.0,0,0.0,380.0,-5,0.18575,0.05,382.61795020314275,380.0,-5,382.61795020314275,0,1.9,1615.0,9411.764705882353,115.015479876161,9476.605577786817,False,0.0,450,40.0,3
2029,C4_MT_HeatPump,C4,MT,C4 MT Heat pump,C4_MT,2027,25,0.0,0,0.0,85.0,-15,0.011050000000000004,0.028,85.15573808745476,85.0,-15,85.15573808745476,0,0.7,595.0,5714.285714285715,18.571428571428577,5724.755501677631,False,0.0,350,50.0,7
2029,C4_MT_ElecHeater,C4,MT,C4 MT Electric heater,C4_MT,2026,25,0.0,0,0.0,65.0,12,0.02645,0.025,65.3727848337719,65.0,12,65.3727848337719,0,0.8,680.0,3823.529411764706,38.89705882352941,3845.4579313983472,True,0.0,350,60.0,8
2029,C4_LT_HeatPump,C4,LT,C4 LT Heat pump,C4_LT,2024,25,0.0,0,0.0,50.0,-20,-0.006000000000000002,0.022,49.91543633260375,50.0,-20,49.91543633260375,0,0.3,255.0,7843.137254901961,-23.52941176470589,7829.872365898626,True,0.0,200,70.0,9
2029,C4_LT_ElecCompr,C4,LT,C4 LT Electric motor,C4_LT,2023,25,0.0,0,0.0,38.0,-25,-0.01365,0.02,37.80761765667349,38.0,-25,37.80761765667349,0,0.3,255.0,5960.78431372549,-53.529411764705884,5930.6066912429005,False,0.0,200,80.0,9
