year,technology,available,abatement_potential_mtco2,capex_ann_usd_per_tco2,opex_ann_usd_per_tco2,fuel_cost_diff_usd_per_tco2,total_cost_usd_per_tco2,re_price_usd_per_mwh,h2_price_usd_per_kg,lcoe_baseline_usd_per_ton,lcoe_technology_usd_per_ton,lcoe_premium_usd_per_ton,emission_intensity_baseline,emission_intensity_technology,methodology,grid_price_usd_per_mwh,grid_ef_tco2_per_mwh
2025,Heat_Pump,True,5.112176825659369,15.277831323472586,0.4583349397041776,0.0,15.736166263176765,58.0,6.0,,,,,,,,
2025,NCC-H2,False,37.6,0.0,0.0,0.0,1000000000.0,,,746.0,850.0,104.0,0.869,0.9,LCOE-based,,
2025,NCC-Electricity,False,37.6,0.0,0.0,0.0,-47.61904761904766,,,746.0,743.0,-3.0,0.869,0.806,LCOE-based,,
2025,RE_PPA,True,8.372000000000002,0.0,0.0,0.0,0.0,,,,,,,,,100.0,0.45
2026,Heat_Pump,True,5.112176825659369,14.666718070533683,0.4400015421160105,0.0,15.106719612649695,56.96,5.808,,,,,,,,
2026,NCC-H2,False,37.6,0.0,0.0,0.0,4421.052631578944,,,746.0,830.0,84.0,0.869,0.85,LCOE-based,,
2026,NCC-Electricity,False,37.6,0.0,0.0,0.0,-75.94936708860763,,,746.0,740.0,-6.0,0.869,0.79,LCOE-based,,
2026,RE_PPA,True,8.223164444444446,0.0,0.0,0.0,0.0,,,,,,,,,102.0,0.442
2027,Heat_Pump,True,5.112176825659369,14.05560481759478,0.4216681445278434,0.0,14.477272962122623,55.92,5.616,,,,,,,,
2027,NCC-H2,False,37.6,0.0,0.0,0.0,927.5362318840587,,,746.0,810.0,64.0,0.869,0.8,LCOE-based,,
2027,NCC-Electricity,False,37.6,0.0,0.0,0.0,-84.2105263157895,,,746.0,738.0,-8.0,0.869,0.774,LCOE-based,,
2027,RE_PPA,True,8.07432888888889,0.0,0.0,0.0,0.0,,,,,,,,,104.0,0.434
2028,Heat_Pump,True,5.112176825659369,13.444491564655875,0.40333474693967625,0.0,13.84782631159555,54.88,5.4239999999999995,,,,,,,,
2028,NCC-H2,False,37.6,0.0,0.0,0.0,369.74789915966386,,,746.0,790.0,44.0,0.869,0.75,LCOE-based,,
2028,NCC-Electricity,False,37.6,0.0,0.0,0.0,-99.0990990990991,,,746.0,735.0,-11.0,0.869,0.758,LCOE-based,,
2028,RE_PPA,True,7.925493333333335,0.0,0.0,0.0,0.0,,,,,,,,,106.0,0.426
2029,Heat_Pump,True,5.112176825659369,12.833378311716972,0.38500134935150915,0.0,13.21837966106848,53.84,5.232,,,,,,,,
2029,NCC-H2,False,37.6,0.0,0.0,0.0,142.0118343195266,,,746.0,770.0,24.0,0.869,0.7,LCOE-based,,
2029,NCC-Electricity,False,37.6,0.0,0.0,0.0,-102.36220472440945,,,746.0,733.0,-13.0,0.869,0.742,LCOE-based,,
2029,RE_PPA,True,7.776657777777779,0.0,0.0,0.0,0.0,,,,,,,,,108.0,0.418
2030,Heat_Pump,True,5.112176825659369,12.222265058778069,0.36666795176334205,0.0,12.58893301054141,52.8,5.04,,,,,,,,
2030,NCC-H2,True,37.6,0.0,0.0,0.0,18.264840182648403,,,746.0,750.0,4.0,0.869,0.65,LCOE-based,,
2030,NCC-Electricity,True,37.6,0.0,0.0,0.0,-111.88811188811188,,,746.0,730.0,-16.0,0.869,0.726,LCOE-based,,
2030,RE_PPA,True,7.627822222222223,0.0,0.0,0.0,0.0,,,,,,,,,110.0,0.41
2031,Heat_Pump,True,5.112176825659369,11.916708432308617,0.3575012529692585,0.0,12.274209685277876,51.76,4.848,,,,,,,,
2031,NCC-H2,True,37.6,0.0,0.0,0.0,-40.89219330855018,,,746.0,735.0,-11.0,0.869,0.6,LCOE-based,,
2031,NCC-Electricity,True,37.6,0.0,0.0,0.0,-113.2075471698113,,,746.0,728.0,-18.0,0.869,0.71,LCOE-based,,
2031,RE_PPA,True,7.478986666666668,0.0,0.0,0.0,0.0,,,,,,,,,112.0,0.402
2032,Heat_Pump,True,5.112176825659369,11.611151805839166,0.34833455417517495,0.0,11.95948636001434,50.72,4.656,,,,,,,,
2032,NCC-H2,True,37.6,0.0,0.0,0.0,-81.50470219435738,,,746.0,720.0,-26.0,0.869,0.55,LCOE-based,,
2032,NCC-Electricity,True,37.6,0.0,0.0,0.0,-114.28571428571426,,,746.0,726.0,-20.0,0.869,0.694,LCOE-based,,
2032,RE_PPA,True,7.330151111111112,0.0,0.0,0.0,0.0,,,,,,,,,114.0,0.394
2033,Heat_Pump,True,5.112176825659369,11.305595179369714,0.3391678553810914,0.0,11.644763034750806,49.68,4.464,,,,,,,,
2033,NCC-H2,True,37.6,0.0,0.0,0.0,-111.11111111111111,,,746.0,705.0,-41.0,0.869,0.5,LCOE-based,,
2033,NCC-Electricity,True,37.6,0.0,0.0,0.0,-115.18324607329846,,,746.0,724.0,-22.0,0.869,0.678,LCOE-based,,
2033,RE_PPA,True,7.181315555555557,0.0,0.0,0.0,0.0,,,,,,,,,116.0,0.386
2034,Heat_Pump,True,5.112176825659369,11.000038552900262,0.33000115658700785,0.0,11.33003970948727,48.64,4.272,,,,,,,,
2034,NCC-H2,True,37.6,0.0,0.0,0.0,-133.65155131264916,,,746.0,690.0,-56.0,0.869,0.45,LCOE-based,,
2034,NCC-Electricity,True,37.6,0.0,0.0,0.0,-115.94202898550726,,,746.0,722.0,-24.0,0.869,0.662,LCOE-based,,
2034,RE_PPA,True,7.032480000000001,0.0,0.0,0.0,0.0,,,,,,,,,118.0,0.378
2035,Heat_Pump,True,5.112176825659369,10.69448192643081,0.3208344577929243,0.0,11.015316384223736,47.6,4.08,,,,,,,,
