year,technology,available,abatement_potential_mtco2,capex_ann_usd_per_tco2,opex_ann_usd_per_tco2,fuel_cost_diff_usd_per_tco2,total_cost_usd_per_tco2,re_price_usd_per_mwh,naphtha_price_usd_per_gj,h2_price_usd_per_kg,methodology,grid_price_usd_per_mwh
2025,Heat_Pump,True,5.112176825659369,15.277831323472586,0.4583349397041776,270.3206562266965,286.05682248987324,58.0,0.0,,,
2025,NCC-H2,False,37.60323707441514,28.103633715590433,0.7025908428897609,0.0,1000000000.0,,0.0,6.0,LCOE-based (adjusted for fossil fuel sensitivity),
2025,NCC-Electricity,False,37.60323707441514,32.78757266818884,0.6557514533637767,0.0,5873.015873015878,58.0,0.0,,LCOE-based (adjusted for fossil fuel sensitivity),
2025,RE_PPA,True,7.214952205225041,0.0,0.0,-105.0,-105.0,58.0,,,,100.0
2026,Heat_Pump,True,5.112176825659369,14.666718070533683,0.4400015421160105,265.4735272184937,280.58024683114337,56.96,0.0,,,
2026,NCC-H2,False,37.60323707441514,27.166845925070753,0.6791711481267688,0.0,24052.63157894735,,0.0,5.808,LCOE-based (adjusted for fossil fuel sensitivity),
2026,NCC-Electricity,False,37.60323707441514,31.85078487766916,0.6370156975533832,0.0,4645.569620253167,56.96,0.0,,LCOE-based (adjusted for fossil fuel sensitivity),
2026,RE_PPA,True,7.198628783946251,0.0,0.0,-109.79591836734693,-109.79591836734693,56.96,,,,100.0
2027,Heat_Pump,True,5.112176825659369,14.05560481759478,0.4216681445278434,260.62639821029086,275.1036711724135,55.92,0.0,,,
2027,NCC-H2,False,37.60323707441514,26.230058134551072,0.6557514533637768,0.0,6333.333333333338,,0.0,5.616,LCOE-based (adjusted for fossil fuel sensitivity),
2027,NCC-Electricity,False,37.60323707441514,30.91399708714948,0.6182799417429896,0.0,3842.105263157896,55.92,0.0,,LCOE-based (adjusted for fossil fuel sensitivity),
2027,RE_PPA,True,7.181703577551192,0.0,0.0,-114.79166666666666,-114.79166666666666,55.92,,,,100.0
2028,Heat_Pump,True,5.112176825659369,13.444491564655875,0.40333474693967625,255.77926920208802,269.62709551368357,54.88,0.0,,,
2028,NCC-H2,False,37.60323707441514,25.29327034403139,0.6323317586007848,0.0,3504.201680672269,,0.0,5.4239999999999995,LCOE-based (adjusted for fossil fuel sensitivity),
