year,category,value,unit,scenario,figure_type
2043,Daesan,3.203036620194887,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2044,Daesan,2.9950606673603235,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2045,Daesan,2.176968604034061,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2046,Daesan,1.9649299087483638,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2047,Daesan,1.7528912134626666,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2048,Daesan,1.1295049566268407,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2049,Daesan,0.6284261334754798,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2050,Daesan,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2025,Ulsan,19.244286327143506,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2026,Ulsan,16.739137624632942,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2027,Ulsan,16.437929538378278,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2028,Ulsan,16.136721452123613,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2029,Ulsan,15.83551336586895,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2030,Ulsan,15.534305279614287,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2031,Ulsan,15.019100878901773,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2032,Ulsan,14.777296404083225,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2033,Ulsan,14.535491929264682,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2034,Ulsan,13.960304399997883,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2035,Ulsan,12.8161570120799,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2036,Ulsan,12.320159639065038,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2037,Ulsan,11.822384497688116,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2038,Ulsan,11.326387124673255,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2039,Ulsan,10.830389751658393,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2040,Ulsan,10.332614610281471,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2041,Ulsan,8.988489176614571,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2042,Ulsan,8.73489633287263,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2043,Ulsan,6.728264610577566,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2044,Ulsan,6.469081287107164,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2045,Ulsan,4.961811675103059,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2046,Ulsan,4.695508483372492,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2047,Ulsan,3.201699480113039,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2048,Ulsan,1.6795792818604687,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2049,Ulsan,0.8439542184498315,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2050,Ulsan,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2025,Other,0.3758121811274001,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2026,Other,0.4226454522382944,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2027,Other,0.4131068961800786,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2028,Other,0.4035683401218629,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2029,Other,0.39402978406364714,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2030,Other,0.38449122800543134,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2031,Other,0.376871347016397,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2032,Other,0.3692514660273626,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2033,Other,0.3616315850383282,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2034,Other,0.3540117040492938,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2035,Other,0.34639182306025934,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2036,Other,0.33109724179449956,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2037,Other,0.315747841241049,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2038,Other,0.30045325997528927,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2039,Other,0.2851586787095296,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2040,Other,0.26980927815607897,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2041,Other,0.26218939716704454,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2042,Other,0.2545146968903192,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2043,Other,0.24683999661359388,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2044,Other,0.2392201156245595,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2045,Other,0.23154541534783418,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2046,Other,0.22387071507110887,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2047,Other,0.21619601479438355,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2048,Other,0.20852131451765823,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2049,Other,0.1896235766538997,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
2050,Other,0.0,MtCO2_per_yr,shaheen_ncc_h2_rising_decoupled,stacked_area
