year,retired_capacity_kt,retired_emissions_mtco2,facilities_retired
2025,26656,36.013699984929495,48
2026,620,1.287567384912062,1
2027,6738,3.955736686639707,7
2028,360,0.11346799656554832,1
2029,0,0.0,0
2030,190,0.39457710182788996,1
2031,0,0.0,0
2032,0,0.0,0
2033,0,0.0,0
2034,0,0.0,0
2035,0,0.0,0
2036,600,0.18911332760924723,1
2037,0,0.0,0
2038,335,0.10558827458182969,3
2039,0,0.0,0
2040,0,0.0,0
2041,1100,1.3683967386306957,6
2042,0,0.0,0
2043,0,0.0,0
2044,3100,0.9770855259811105,3
2045,0,0.0,0
2046,2360,1.800765380794497,3
2047,0,0.0,0
2048,1022,2.122409463516334,2
2049,0,0.0,0
2050,0,0.0,0
