facility_id,company,location,process,capacity_1000_t,startup_year,retirement_year,baseline_emissions_tco2,age_at_retirement,growth_rate
0,Lotte Chemical,Daesan,Naphtha Cracker,1100,1991,2025,2284393.747424626,30,0.0
1,HD Hyundai Chemical,Daesan,Naphtha Cracker,850,2021,2051,1765213.3502826658,30,0.0
2,LG Chem,Daesan,Naphtha Cracker,1300,1991,2025,2699738.0651381947,30,0.0
3,Hanwha TotalEnergies,Daesan,Naphtha Cracker,1525,1991,2025,3167000.4225659585,30,0.0
4,Lotte Chemical,Yeosu,Naphtha Cracker,1230,1992,2025,2554367.5539384456,30,0.0
5,LG Chem,Yeosu,Naphtha Cracker,1030,2021,2051,2139023.236224877,30,0.0
6,Yeochon NCC,Yeosu,Naphtha Cracker,2285,1979,2025,4745308.829877518,30,0.0
7,GS Caltex,Yeosu,Naphtha Cracker,900,2021,2051,1869049.4297110578,30,0.0
8,Daehan Oil Chemical,Onsan,Naphtha Cracker,900,1991,2025,1869049.4297110578,30,0.0
9,S-Oil,Onsan,Naphtha Cracker,182,2018,2048,377963.3291193472,30,0.0
10,SK Geocentric,Ulsan,Naphtha Cracker,660,1989,2025,1370636.2484547757,30,0.0
11,Lotte Chemical,Daesan,Naphtha Cracker,550,1997,2027,1142196.873712313,30,0.0
12,HDHyundai Oilbank,Daesan,Naphtha Cracker,420,2011,2041,872223.0671984935,30,0.0
13,HD Hyundai Chemical,Daesan,Naphtha Cracker,451,2021,2051,936601.4364440967,30,0.0
14,LG Chem,Daesan,Naphtha Cracker,680,1991,2025,1412170.6802261323,30,0.0
15,Hanwha TotalEnergies,Daesan,Naphtha Cracker,1064,1991,2025,2209631.770236184,30,0.0
16,Lotte Chemical,Yeosu,Naphtha Cracker,641,1992,2025,1331178.5382719866,30,0.0
17,LG Chem,Yeosu,Naphtha Cracker,1300,2021,2051,2699738.0651381947,30,0.0
18,Yeochon NCC,Yeosu,Naphtha Cracker,1289,1979,2025,2676894.127663948,30,0.0
19,GS Caltex,Yeosu,Naphtha Cracker,970,2021,2051,2014419.9409108064,30,0.0
20,Daehan Oil Chemical,Onsan,Naphtha Cracker,560,1991,2025,1162964.0895979914,30,0.0
21,S-Oil,Onsan,Naphtha Cracker,840,2018,2048,1744446.134396987,30,0.0
22,SK Advanced,Ulsan,Naphtha Cracker,600,2016,2046,1246032.9531407051,30,0.0
23,SK Energy,Ulsan,Naphtha Cracker,620,1996,2026,1287567.384912062,30,0.0
24,SK Geocentric,Ulsan,Naphtha Cracker,380,1989,2025,789154.20365578,30,0.0
25,Taekwang Industrial,Ulsan,Naphtha Cracker,300,1997,2027,623016.4765703526,30,0.0
26,Hyosung Chemical,Ulsan,Naphtha Cracker,500,1991,2025,1038360.7942839209,30,0.0
27,Lotte Chemical,Daesan,Naphtha Cracker,190,1997,2027,394577.10182789,30,0.0
28,HD Hyundai Chemical,Daesan,Naphtha Cracker,163,2021,2051,338505.6189365582,30,0.0
29,LG Chem,Daesan,Naphtha Cracker,200,1991,2025,415344.3177135684,30,0.0
30,Hanwha TotalEnergies,Daesan,Naphtha Cracker,150,1991,2025,311508.2382851763,30,0.0
31,Kumho Petrochemical,Yeosu,Naphtha Cracker,147,1992,2025,305278.07351947273,30,0.0
32,Lotte GS Chemical,Yeosu,Naphtha Cracker,130,2022,2052,269973.80651381944,30,0.0
33,Lotte Chemical,Yeosu,Naphtha Cracker,160,2011,2041,332275.4541708547,30,0.0
34,LG Chem,Yeosu,Naphtha Cracker,306,1991,2025,635476.8061017595,30,0.0
