year,retired_capacity_kt,retired_emissions_mtco2,adjusted_retired_emissions_mtco2,facilities_retired,growth_factor
2025,763,0.5223343484181481,0.5223343484181481,2,1.0
2026,0,0.0,0.0,0,1.0
2027,0,0.0,0.0,0,1.0
2028,0,0.0,0.0,0,1.0
2029,4607,7.906331013738438,7.906331013738438,6,1.0
2030,960,0.30258132417479555,0.30258132417479555,2,1.0
2031,0,0.0,0.0,0,1.0
2032,0,0.0,0.0,0,1.0
2033,0,0.0,0.0,0,1.0
2034,0,0.0,0.0,0,1.0
2035,0,0.0,0.0,0,1.0
2036,110,0.03467077672836199,0.03467077672836199,1,1.0
2037,0,0.0,0.0,0,1.0
2038,0,0.0,0.0,0,1.0
2039,1170,2.429764258624375,2.429764258624375,3,1.0
2040,3830,1.2071734079056946,1.2071734079056946,6,1.0
2041,11244,18.138282255277506,18.138282255277506,16,1.0
2042,3732,5.3969172690184735,5.3969172690184735,10,1.0
2043,0,0.0,0.0,0,1.0
2044,0,0.0,0.0,0,1.0
2045,240,0.07564533104369889,0.07564533104369889,2,1.0
2046,620,1.287567384912062,1.287567384912062,1,1.0
2047,6738,3.955736686639707,3.955736686639707,7,1.0
2048,360,0.11346799656554832,0.11346799656554832,1,1.0
2049,0,0.0,0.0,0,1.0
2050,190,0.39457710182788996,0.39457710182788996,1,1.0
